Model;Scenario;Region;Variable;Unit;2010;2015;2020;2025;2030;2035;2040;2045;2050;2055;2060;2065;2070;2075;2080;2085;2090;2095;2100
GCAM4.2_ADVANCE;DIAG-C30-gr5;World;Population;million;6895.882;;7639.358;;8289.389;;8812.64;;9190.938;;9401.596;;9466.277;;9409.758;;9250.717;;9024.486
GCAM4.2_ADVANCE;DIAG-C30-gr5;World;Primary Energy|Coal|w/o CCS;EJ/yr;143.2600584;;175.7139496;;194.1633742;;192.2994556;;174.0042304;;145.2826338;;88.04185437;;25.77957709;;7.40744054;;3.356751369
GCAM4.2_ADVANCE;DIAG-C30-gr5;World;Primary Energy|Oil|w/o CCS;EJ/yr;176.0788293;;212.5783378;;238.5346323;;247.8584636;;245.3124533;;241.8202308;;228.5247489;;194.3094576;;131.8499708;;85.37403857
GCAM4.2_ADVANCE;DIAG-C30-gr5;World;Primary Energy|Coal|w/ CCS;EJ/yr;0;;0.057985462;;1.06401089;;4.045604052;;9.218680628;;16.43307117;;28.64954023;;42.64460421;;53.68645046;;58.21810563
GCAM4.2_ADVANCE;DIAG-C30-gr5;World;Primary Energy|Gas;EJ/yr;113.8450926;;141.257712;;167.470891;;191.684032;;212.734136;;222.187279;;227.773341;;231.221958;;243.429077;;230.891708
GCAM4.2_ADVANCE;DIAG-C30-gr5;World;Primary Energy|Biomass|w/o CCS;EJ/yr;51.53009875;;58.65335287;;73.69146182;;92.45074409;;113.7190042;;123.9088309;;115.4203833;;73.27404688;;27.46661925;;15.40065539
GCAM4.2_ADVANCE;DIAG-C30-gr5;World;Primary Energy|Fossil|w/ CCS;EJ/yr;0;;0.212484644;;9.482335755;;22.48870028;;38.41617089;;59.96684826;;91.17764099;;126.6644983;;156.5177107;;175.6411619
GCAM4.2_ADVANCE;DIAG-C30-gr5;World;Primary Energy|Biomass|w/ CCS;EJ/yr;0;;0.250564365;;2.647228642;;12.68248445;;31.92737271;;58.1274197;;108.6239337;;197.6008044;;291.9129248;;356.54192
GCAM4.2_ADVANCE;DIAG-C30-gr5;World;Primary Energy|Nuclear;EJ/yr;9.92242335;;11.692513;;14.33878502;;18.72485758;;24.20800852;;32.49970222;;45.43066092;;58.83872178;;69.41648506;;76.22428807
GCAM4.2_ADVANCE;DIAG-C30-gr5;World;Primary Energy|Solar;EJ/yr;0.120506105;;0.55825995;;1.953895818;;4.827786968;;9.292592759;;16.58912265;;28.37145523;;45.42062275;;61.8529722;;72.94253713
GCAM4.2_ADVANCE;DIAG-C30-gr5;World;Primary Energy|Biomass;EJ/yr;51.53009875;;58.90391723;;76.33869046;;105.1332285;;145.6463769;;182.0362505;;224.0443169;;270.8748513;;319.3795441;;371.9425754
GCAM4.2_ADVANCE;DIAG-C30-gr5;World;Primary Energy;EJ/yr;508.6232596;;617.4044047;;718.4318424;;798.0393993;;864.6947989;;915.3271854;;948.9523656;;970.7308316;;1003.346803;;1022.647013
GCAM4.2_ADVANCE;DIAG-C30-gr5;World;Primary Energy|Fossil;EJ/yr;433.1839802;;529.6079849;;604.502494;;641.7289969;;649.645045;;637.689199;;588.8550336;;512.8121243;;451.8944398;;391.4400666
GCAM4.2_ADVANCE;DIAG-C30-gr5;World;Primary Energy|Gas|w/o CCS;EJ/yr;113.8450926;;141.1032128;;162.3221517;;179.0823774;;191.9121904;;190.6194861;;181.1107893;;166.0585913;;156.1193178;;127.0681147
GCAM4.2_ADVANCE;DIAG-C30-gr5;World;Emissions|F-Gases;Mt CO2-equiv/yr;886.4736043;;922.6923019;;1466.950998;;1618.333271;;1870.384076;;2059.43848;;2273.145154;;2561.031231;;2845.65499;;3098.010431
GCAM4.2_ADVANCE;DIAG-C30-gr5;World;Primary Energy|Non-Biomass Renewables;EJ/yr;13.98675724;;17.19998959;;23.25187291;;32.45231629;;45.19536841;;63.10203362;;90.62235413;;128.2051342;;162.6563341;;183.0400825
GCAM4.2_ADVANCE;DIAG-C30-gr5;World;Emissions|N2O;kt N2O/yr;2723.828187;;2299.121128;;2253.672504;;2103.834722;;2083.684037;;2056.471064;;1945.29236;;1765.740097;;1635.668757;;1565.007025
GCAM4.2_ADVANCE;DIAG-C30-gr5;World;Primary Energy|Oil;EJ/yr;176.0788293;;212.5783378;;241.8042179;;253.6999052;;253.687998;;253.786215;;244.390298;;213.165985;;147.3714718;;98.97350156
GCAM4.2_ADVANCE;DIAG-C30-gr5;World;Emissions|Kyoto Gases;Mt CO2-equiv/yr;43167.35955;;43285.06096;;48673.04617;;50573.76585;;47707.15448;;44153.98191;;34362.65275;;19220.72967;;5922.192719;;-3065.663455
GCAM4.2_ADVANCE;DIAG-C30-gr5;World;Primary Energy|Gas|w/ CCS;EJ/yr;0;;0.154499182;;5.148739274;;12.60165462;;20.82194558;;31.56779287;;46.66255166;;65.16336671;;87.3097592;;103.8235933
GCAM4.2_ADVANCE;DIAG-C30-gr5;World;Emissions|CO2|Energy and Industrial Processes;Mt CO2/yr;32647.014;;39224.37332;;43547.63911;;44176.44976;;41669.99277;;36824.75601;;26549.47896;;11792.08628;;-583.049036;;-10145.78536
GCAM4.2_ADVANCE;DIAG-C30-gr5;World;GDP|PPP;billion US$2010/yr;73442.27104;;110105.2453;;155666.0016;;202417.543;;251959.7339;;305838.8955;;367471.7807;;435037.0307;;508880.3727;;589267.885
GCAM4.2_ADVANCE;DIAG-C30-gr5;World;Price|Carbon;US$2010/t CO2;0;;11.30667937;;18.41738891;;29.99999505;;48.86695216;;79.59880145;;129.6583254;;211.1995985;;344.0218731;;560.3766193
GCAM4.2_ADVANCE;DIAG-C30-gr5;World;Primary Energy|Oil|w/ CCS;EJ/yr;0;;0;;3.269585591;;5.841441604;;8.375544685;;11.96598422;;15.86554911;;18.85652743;;15.521501;;13.59946299
GCAM4.2_ADVANCE;DIAG-C30-gr5;World;Temperature|Global Mean;°C;0.819595;;0.994156;;1.20216;;1.43803;;1.66627;;1.87588;;2.05658;;2.18017;;2.21602;;2.18908
GCAM4.2_ADVANCE;DIAG-C30-gr5;World;Policy Cost|Area under MAC Curve;billion US$2010/yr;0;;11.45997625;;39.91394213;;122.967498;;342.1454336;;877.9568901;;2357.965911;;5115.686337;;9348.220281;;14091.29403
GCAM4.2_ADVANCE;DIAG-C80-const;World;Primary Energy|Hydro;EJ/yr;12.3909307;;12.9203779;;13.6647437;;14.6095264;;15.8542282;;17.0989167;;18.3436002;;19.5883008;;20.8329875;;21.4553438
GCAM4.2_ADVANCE;DIAG-C80-const;World;Final Energy;EJ/yr;393.8514062;;433.3903361;;507.9691145;;571.8704855;;630.6698349;;691.007754;;753.5802519;;809.5437732;;856.1502053;;896.0185657
GCAM4.2_ADVANCE;DIAG-C80-const;World;Emissions|CO2;Mt CO2/yr;36591.71409;;31401.9018;;31383.00548;;30448.11386;;28037.19247;;28848.04187;;31317.49077;;32627.80181;;36658.99512;;38092.15788
GCAM4.2_ADVANCE;DIAG-C80-const;World;Primary Energy|Fossil|w/o CCS;EJ/yr;433.1839802;;445.3508974;;468.5459209;;472.2700107;;484.1272552;;511.6649138;;554.2990641;;587.3125756;;645.0751535;;679.546543
GCAM4.2_ADVANCE;DIAG-C80-const;World;Primary Energy|Geothermal;EJ/yr;0.245125839;;1.15855398;;2.409296277;;3.113623393;;3.435940342;;3.49080642;;3.583336658;;3.700171198;;3.76187602;;3.799759371
GCAM4.2_ADVANCE;DIAG-C80-const;World;Primary Energy|Coal;EJ/yr;143.2600584;;124.3052936;;131.3779138;;130.3118738;;127.5789262;;128.8550314;;130.4898899;;117.788011;;115.0665027;;111.5908158
GCAM4.2_ADVANCE;DIAG-C80-const;World;Emissions|CO2|AFOLU;Mt CO2/yr;3944.700093;;55.37401851;;-395.0375044;;616.521157;;-715.3325063;;-920.0654303;;-860.0972985;;-563.9473791;;-364.2117563;;-282.2074862
GCAM4.2_ADVANCE;DIAG-C80-const;World;Primary Energy|Wind;EJ/yr;1.230194595;;3.356642852;;9.341772025;;15.94986962;;22.59557197;;27.56395051;;32.30140221;;40.05241498;;47.15052303;;52.55023108
GCAM4.2_ADVANCE;DIAG-C80-const;World;Emissions|CH4;Mt CH4/yr;195.0988069;;129.8900177;;141.7085519;;142.6788108;;142.2085914;;145.2894383;;143.0480983;;142.6584517;;120.1116184;;118.5815157
GCAM4.2_ADVANCE;DIAG-C80-const;World;Population;million;6895.882;;7639.358;;8289.389;;8812.64;;9190.938;;9401.596;;9466.277;;9409.758;;9250.717;;9024.486
GCAM4.2_ADVANCE;DIAG-C80-const;World;Primary Energy|Coal|w/o CCS;EJ/yr;143.2600584;;124.1669087;;123.2809702;;114.0459854;;104.3657281;;100.4184503;;98.28869037;;81.17253769;;81.49655093;;81.55026732
GCAM4.2_ADVANCE;DIAG-C80-const;World;Primary Energy|Oil|w/o CCS;EJ/yr;176.0788293;;199.4251872;;214.8394531;;213.7285611;;214.5622983;;231.6786158;;258.7609747;;283.6404221;;296.6881464;;305.2179224
GCAM4.2_ADVANCE;DIAG-C80-const;World;Primary Energy|Coal|w/ CCS;EJ/yr;0;;0.138384942;;8.096943642;;16.26588845;;23.21319812;;28.43658109;;32.20119954;;36.61547331;;33.56995177;;30.04054848
GCAM4.2_ADVANCE;DIAG-C80-const;World;Primary Energy|Gas;EJ/yr;113.8450926;;122.6127922;;146.505454;;174.489979;;206.153845;;228.704193;;245.462972;;264.168021;;302.80838;;325.30342
GCAM4.2_ADVANCE;DIAG-C80-const;World;Primary Energy|Biomass|w/o CCS;EJ/yr;51.53009875;;77.59783714;;90.91958592;;101.8014159;;106.6022229;;109.9230043;;116.2395662;;121.0551923;;125.8354285;;127.4282454
GCAM4.2_ADVANCE;DIAG-C80-const;World;Primary Energy|Fossil|w/ CCS;EJ/yr;0;;0.992375586;;31.42450843;;57.23263292;;77.23788902;;92.02991658;;94.17966978;;89.67730136;;78.19258435;;69.43513483
GCAM4.2_ADVANCE;DIAG-C80-const;World;Primary Energy|Biomass|w/ CCS;EJ/yr;0;;1.175090695;;18.20553429;;53.24880667;;79.81319101;;88.67138994;;85.62501084;;83.85174848;;84.36241546;;87.06213279
GCAM4.2_ADVANCE;DIAG-C80-const;World;Primary Energy|Nuclear;EJ/yr;9.92242335;;13.64439299;;20.95560425;;28.06498053;;34.40390735;;41.14474243;;47.39003701;;51.33925768;;50.90362906;;48.87277224
GCAM4.2_ADVANCE;DIAG-C80-const;World;Primary Energy|Solar;EJ/yr;0.120506105;;0.971811754;;3.40066957;;7.064440014;;11.8826425;;17.31938333;;23.41531582;;30.69539933;;37.31124188;;42.64919618
GCAM4.2_ADVANCE;DIAG-C80-const;World;Primary Energy|Biomass;EJ/yr;51.53009875;;78.77292783;;109.1251202;;155.0502226;;186.4154139;;198.5943942;;201.8645771;;204.9069408;;210.1978439;;214.4903782
GCAM4.2_ADVANCE;DIAG-C80-const;World;Primary Energy;EJ/yr;508.6232596;;557.1679803;;658.8676353;;753.3553062;;835.9528485;;908.907024;;975.3770029;;1027.272362;;1093.425839;;1132.799359
GCAM4.2_ADVANCE;DIAG-C80-const;World;Primary Energy|Fossil;EJ/yr;433.1839802;;446.343273;;499.9704293;;529.5026436;;561.3651442;;603.6948304;;648.4787339;;676.989877;;723.2677379;;748.9816778
GCAM4.2_ADVANCE;DIAG-C80-const;World;Primary Energy|Gas|w/o CCS;EJ/yr;113.8450926;;121.7588016;;130.4254977;;144.4954642;;165.1992288;;179.5678477;;197.2493991;;222.4996158;;266.8904562;;292.7783533
GCAM4.2_ADVANCE;DIAG-C80-const;World;Emissions|F-Gases;Mt CO2-equiv/yr;886.4736043;;688.238719;;1206.205567;;1486.844804;;1764.406019;;2055.644372;;2371.265314;;2689.774331;;2987.682835;;3246.97561
GCAM4.2_ADVANCE;DIAG-C80-const;World;Primary Energy|Non-Biomass Renewables;EJ/yr;13.98675724;;18.40738649;;28.81648157;;40.73745943;;53.76838302;;65.47305696;;77.64365488;;94.03628631;;109.0566284;;120.4545304
GCAM4.2_ADVANCE;DIAG-C80-const;World;Emissions|N2O;kt N2O/yr;2723.828187;;1722.698011;;1778.503483;;1804.825938;;1845.887235;;1930.293635;;2039.121801;;2095.794171;;2160.237531;;2211.250773
GCAM4.2_ADVANCE;DIAG-C80-const;World;Primary Energy|Oil;EJ/yr;176.0788293;;199.4251872;;222.0870615;;224.7007908;;227.632373;;246.135606;;272.525872;;295.033845;;305.3928552;;312.087442
GCAM4.2_ADVANCE;DIAG-C80-const;World;Emissions|Kyoto Gases;Mt CO2-equiv/yr;43167.35955;;35850.75576;;36661.92123;;36039.77024;;33906.88992;;35111.15188;;37872.6196;;39508.5853;;43293.22207;;44962.62412
GCAM4.2_ADVANCE;DIAG-C80-const;World;Primary Energy|Gas|w/ CCS;EJ/yr;0;;0.853990644;;16.07995634;;29.99451481;;40.95461618;;49.13634533;;48.21357291;;41.66840517;;35.91792379;;32.52506673
GCAM4.2_ADVANCE;DIAG-C80-const;World;Emissions|CO2|Energy and Industrial Processes;Mt CO2/yr;32647.014;;31346.52779;;31778.04298;;29831.5927;;28752.52498;;29768.1073;;32177.58807;;33191.74919;;37023.20688;;38374.36537
GCAM4.2_ADVANCE;DIAG-C80-const;World;GDP|PPP;billion US$2010/yr;73442.27104;;110105.2453;;155666.0016;;202417.543;;251959.7339;;305838.8955;;367471.7807;;435037.0307;;508880.3727;;589267.885
GCAM4.2_ADVANCE;DIAG-C80-const;World;Price|Carbon;US$2010/t CO2;0;;80.0001795;;80.0001795;;80.0001795;;80.0001795;;80.0001795;;80.0001795;;80.0001795;;80.0001795;;80.0001795
GCAM4.2_ADVANCE;DIAG-C80-const;World;Primary Energy|Oil|w/ CCS;EJ/yr;0;;0;;7.247608445;;10.97222966;;13.07007472;;14.45699016;;13.76489734;;11.39342289;;8.70470879;;6.869519617
GCAM4.2_ADVANCE;DIAG-C80-const;World;Temperature|Global Mean;°C;0.819595;;1.02901;;1.21588;;1.39446;;1.55085;;1.68946;;1.82342;;1.96352;;2.10359;;2.24869
GCAM4.2_ADVANCE;DIAG-C80-const;World;Policy Cost|Area under MAC Curve;billion US$2010/yr;0;;351.792652;;607.860714;;868.9395494;;1027.418079;;1109.953382;;1150.092821;;1196.287856;;1191.172056;;1177.849376
GCAM4.2_ADVANCE;DIAG-C80-gr5;World;Primary Energy|Hydro;EJ/yr;12.3909307;;13.0198439;;13.6647437;;14.6095264;;15.8542282;;17.0989167;;18.3436002;;19.5883008;;20.8329875;;21.4553438
GCAM4.2_ADVANCE;DIAG-C80-gr5;World;Final Energy;EJ/yr;393.8514062;;458.5896509;;525.8019738;;572.5645687;;601.493677;;623.1555393;;640.307219;;655.7241276;;672.9429536;;675.9546126
GCAM4.2_ADVANCE;DIAG-C80-gr5;World;Emissions|CO2;Mt CO2/yr;36591.71409;;35508.04048;;37062.14119;;33419.11927;;21904.60345;;8879.676458;;-1783.902263;;-9203.038484;;-16852.55937;;-26098.85658
GCAM4.2_ADVANCE;DIAG-C80-gr5;World;Primary Energy|Fossil|w/o CCS;EJ/yr;433.1839802;;502.1545945;;533.2054404;;493.1111278;;399.6587194;;311.7945541;;243.3175794;;179.9580598;;126.5684901;;53.21529207
GCAM4.2_ADVANCE;DIAG-C80-gr5;World;Primary Energy|Geothermal;EJ/yr;0.245125839;;0.981835473;;2.077984461;;3.047826765;;3.573327601;;3.728417501;;3.793250521;;3.838648183;;3.882626644;;4.006388381
GCAM4.2_ADVANCE;DIAG-C80-gr5;World;Primary Energy|Coal;EJ/yr;143.2600584;;156.7158693;;159.6924693;;138.4022194;;95.3659577;;65.063946;;59.5797763;;59.9864275;;52.7483115;;35.0775876
GCAM4.2_ADVANCE;DIAG-C80-gr5;World;Emissions|CO2|AFOLU;Mt CO2/yr;3944.700093;;-1052.267122;;-772.6725728;;1243.892484;;1871.933421;;746.0628286;;188.6825119;;827.7006385;;797.0084658;;821.6400967
GCAM4.2_ADVANCE;DIAG-C80-gr5;World;Primary Energy|Wind;EJ/yr;1.230194595;;2.570007275;;7.053915652;;15.26836721;;28.61388573;;42.70142962;;55.10161601;;67.08636117;;78.84842414;;95.55089641
GCAM4.2_ADVANCE;DIAG-C80-gr5;World;Emissions|CH4;Mt CH4/yr;195.0988069;;143.1553868;;152.9269325;;144.2731124;;128.3425518;;116.2430871;;105.6098019;;96.68911621;;88.89281076;;76.48355416
GCAM4.2_ADVANCE;DIAG-C80-gr5;World;Population;million;6895.882;;7639.358;;8289.389;;8812.64;;9190.938;;9401.596;;9466.277;;9409.758;;9250.717;;9024.486
GCAM4.2_ADVANCE;DIAG-C80-gr5;World;Primary Energy|Coal|w/o CCS;EJ/yr;143.2600584;;156.6276643;;156.6508193;;126.2388668;;67.23325055;;22.40757915;;7.87870992;;3.7513513;;2.042770421;;1.232554386
GCAM4.2_ADVANCE;DIAG-C80-gr5;World;Primary Energy|Oil|w/o CCS;EJ/yr;176.0788293;;209.4159548;;229.2361057;;220.1828542;;188.6809622;;160.620965;;125.8096824;;87.8763736;;54.84066411;;-7.218789297
GCAM4.2_ADVANCE;DIAG-C80-gr5;World;Primary Energy|Coal|w/ CCS;EJ/yr;0;;0.088205013;;3.04165;;12.16335257;;28.13270715;;42.65636685;;51.70106638;;56.2350762;;50.70554108;;33.84503321
GCAM4.2_ADVANCE;DIAG-C80-gr5;World;Primary Energy|Gas;EJ/yr;113.8450926;;136.392338;;156.850515;;171.922422;;190.086295;;199.31949;;201.390472;;192.696243;;175.408383;;158.488283
GCAM4.2_ADVANCE;DIAG-C80-gr5;World;Primary Energy|Biomass|w/o CCS;EJ/yr;51.53009875;;64.51901429;;83.89897196;;104.8951662;;100.2445156;;65.4784614;;35.11142323;;23.26759768;;17.48890947;;14.81377514
GCAM4.2_ADVANCE;DIAG-C80-gr5;World;Primary Energy|Fossil|w/ CCS;EJ/yr;0;;0.369567644;;17.60247316;;47.63140542;;90.7519331;;135.9383981;;169.2062999;;185.9720839;;184.0288398;;158.1407421
GCAM4.2_ADVANCE;DIAG-C80-gr5;World;Primary Energy|Biomass|w/ CCS;EJ/yr;0;;0.359054889;;5.909463229;;40.69683733;;114.8382835;;198.6598946;;272.9141818;;332.9875117;;389.866245;;459.0440456
GCAM4.2_ADVANCE;DIAG-C80-gr5;World;Primary Energy|Nuclear;EJ/yr;9.92242335;;11.65165963;;16.48019839;;26.02924666;;40.41770262;;55.2506534;;68.53789041;;80.61571562;;89.61402156;;95.50688825
GCAM4.2_ADVANCE;DIAG-C80-gr5;World;Primary Energy|Solar;EJ/yr;0.120506105;;0.599131952;;2.67865556;;6.985058143;;14.90460652;;26.81987107;;41.1215508;;55.41665143;;68.0268616;;83.48981583
GCAM4.2_ADVANCE;DIAG-C80-gr5;World;Primary Energy|Biomass;EJ/yr;51.53009875;;64.87806918;;89.80843519;;145.5920035;;215.0827991;;264.138356;;308.025605;;356.2551094;;407.3551545;;473.8578207
GCAM4.2_ADVANCE;DIAG-C80-gr5;World;Primary Energy;EJ/yr;508.6232596;;596.2247095;;682.5718465;;752.2745619;;808.8572023;;857.4705965;;907.4473922;;948.7309303;;979.1574058;;985.2231875
GCAM4.2_ADVANCE;DIAG-C80-gr5;World;Primary Energy|Fossil;EJ/yr;433.1839802;;502.5241621;;550.8079136;;540.7425332;;490.4106525;;447.7329522;;412.5238793;;365.9301438;;310.5973299;;211.3560341
GCAM4.2_ADVANCE;DIAG-C80-gr5;World;Primary Energy|Gas|w/o CCS;EJ/yr;113.8450926;;136.1109754;;147.3185155;;146.6894067;;143.7445067;;128.76601;;109.6291871;;88.33033493;;69.68505554;;59.20152698
GCAM4.2_ADVANCE;DIAG-C80-gr5;World;Emissions|F-Gases;Mt CO2-equiv/yr;886.4736043;;766.7565488;;1278.039001;;1488.799811;;1694.238019;;1955.7058;;2249.248;;2555.702834;;2854.10378;;3105.71723
GCAM4.2_ADVANCE;DIAG-C80-gr5;World;Primary Energy|Non-Biomass Renewables;EJ/yr;13.98675724;;17.1708186;;25.47529937;;39.91077852;;62.94604806;;90.34863488;;118.3600175;;145.9299616;;171.5908999;;204.5024444
GCAM4.2_ADVANCE;DIAG-C80-gr5;World;Emissions|N2O;kt N2O/yr;2723.828187;;1864.410482;;1885.060531;;1845.284211;;1697.024158;;1578.412699;;1523.946159;;1508.444278;;1525.625947;;1532.957577
GCAM4.2_ADVANCE;DIAG-C80-gr5;World;Primary Energy|Oil;EJ/yr;176.0788293;;209.4159548;;234.2649293;;230.4178918;;204.9583998;;183.3495162;;151.553631;;113.2474733;;82.44063537;;17.79016352
GCAM4.2_ADVANCE;DIAG-C80-gr5;World;Emissions|Kyoto Gases;Mt CO2-equiv/yr;43167.35955;;40409.27673;;42725.10415;;39064.64833;;27313.12154;;14211.82896;;3559.727491;;-3780.590981;;-11321.4987;;-20624.22914
GCAM4.2_ADVANCE;DIAG-C80-gr5;World;Primary Energy|Gas|w/ CCS;EJ/yr;0;;0.281362631;;9.531999513;;25.23301529;;46.34178833;;70.55347998;;91.7612849;;104.3659081;;105.7233275;;99.28675602
GCAM4.2_ADVANCE;DIAG-C80-gr5;World;Emissions|CO2|Energy and Industrial Processes;Mt CO2/yr;32647.014;;36560.3076;;37834.81376;;32175.22678;;20032.67003;;8133.613629;;-1972.584775;;-10030.73912;;-17649.56784;;-26920.49668
GCAM4.2_ADVANCE;DIAG-C80-gr5;World;GDP|PPP;billion US$2010/yr;73442.27104;;110105.2453;;155666.0016;;202417.543;;251959.7339;;305838.8955;;367471.7807;;435037.0307;;508880.3727;;589267.885
GCAM4.2_ADVANCE;DIAG-C80-gr5;World;Price|Carbon;US$2010/t CO2;0;;30.15117252;;49.11306463;;80.0001795;;130.3115971;;212.2637458;;345.7553969;;563.2011316;;917.3924875;;1494.336275
GCAM4.2_ADVANCE;DIAG-C80-gr5;World;Primary Energy|Oil|w/ CCS;EJ/yr;0;;0;;5.02882365;;10.23503756;;16.27743762;;22.72855125;;25.74394862;;25.37109966;;27.59997127;;25.00895282
GCAM4.2_ADVANCE;DIAG-C80-gr5;World;Temperature|Global Mean;°C;0.819595;;1.00407;;1.20834;;1.4303;;1.62205;;1.73626;;1.76077;;1.71423;;1.61039;;1.46729
GCAM4.2_ADVANCE;DIAG-C80-gr5;World;Policy Cost|Area under MAC Curve;billion US$2010/yr;0;;65.90562978;;232.6743381;;794.6035713;;2305.864571;;4883.831582;;8525.803724;;12901.15245;;19882.67724;;33569.80878
GCAM5.3_NAVIGATE;DIAG-Base;World;Primary Energy|Hydro;EJ/yr;12.85743529;14.5474901;14.66075091;15.0905;15.54161708;16.01249758;16.49384617;16.91860355;17.35230459;17.78411454;18.22070065;18.65964202;19.09969255;19.54075809;19.98417601;20.4301705;20.87860018;21.32700033;21.77032095
GCAM5.3_NAVIGATE;DIAG-Base;World;Final Energy;EJ/yr;362.6504412;383.5410545;413.039442;447.9440095;483.3672768;515.0228685;543.6611765;570.9044898;595.6731592;620.2260624;644.7848361;668.2266576;690.2716786;709.9751417;726.6610531;740.2778762;751.9624543;761.4243912;771.1610181
GCAM5.3_NAVIGATE;DIAG-Base;World;Emissions|CO2;Mt CO2/yr;36026.15822;38629.64461;41199.09846;43259.78005;46541.41893;49256.05997;51519.98989;53835.17312;55577.80708;57379.42789;59264.51346;61009.40291;62968.62254;64671.36301;65226.49121;65900.92935;66364.80744;66765.33081;67159.01368
GCAM5.3_NAVIGATE;DIAG-Base;World;Primary Energy|Fossil|w/o CCS;EJ/yr;452.096892;478.0510572;522.0074172;569.0123495;616.0394734;655.5285578;689.0075841;723.4036147;750.6139803;779.603614;809.9097543;835.9590055;866.1320152;892.7410283;906.4613594;918.2692523;927.5408739;935.6721764;943.730498
GCAM5.3_NAVIGATE;DIAG-Base;World;Primary Energy|Geothermal;EJ/yr;0.250727301;0.29676763;0.75251943;1.141018534;1.554009121;1.93908213;2.32872692;2.533936953;2.675548947;2.798069483;2.883442331;3.020083459;3.059964127;3.077835064;3.151066421;3.212464686;3.295653249;3.334523309;3.389300447
GCAM5.3_NAVIGATE;DIAG-Base;World;Primary Energy|Coal;EJ/yr;154.6742245;165.1704831;190.2914125;211.9421922;229.441277;244.1402557;257.5910418;271.7790886;282.3609926;290.615613;297.926483;306.6530295;314.4643425;320.2514296;316.3979725;317.5284231;317.3408145;317.5509471;317.5710656
GCAM5.3_NAVIGATE;DIAG-Base;World;Emissions|CO2|AFOLU;Mt CO2/yr;2479.748039;3260.792355;1761.78482;262.7772854;204.9014513;147.0256173;89.14978327;31.27394924;-26.60188479;-84.47771882;-142.3535529;-200.2293869;-258.1052209;-280.4323053;-302.7593896;-325.086474;-347.4135584;-369.7406427;-392.0677271
GCAM5.3_NAVIGATE;DIAG-Base;World;Primary Energy|Wind;EJ/yr;1.278072707;3.131028284;4.479869836;5.679800308;7.233012313;9.063102924;11.1549266;11.41712013;13.10574909;15.00042968;16.78719736;18.84646088;20.28806955;21.52780235;24.2729933;26.58770857;29.01407539;31.00948027;33.09573833
GCAM5.3_NAVIGATE;DIAG-Base;World;Emissions|CH4;Mt CH4/yr;373.3925813;391.3785572;408.2394039;427.9470429;442.5944377;452.4273459;458.1724042;473.9061406;484.0872782;487.2877825;490.3970173;491.1504491;491.0398618;490.2153474;485.8249706;480.7676068;474.2359849;468.2684743;462.2266879
GCAM5.3_NAVIGATE;DIAG-Base;World;Population;million;6947.252;7369.295;7739.743;8084.34;8396.881;8677.608;8924.749;9135.444;9305.449;9431.933;9516.32;9563.891;9579.816;9565.127;9521.116;9450.775;9359.357;9251.425;9130.189
GCAM5.3_NAVIGATE;DIAG-Base;World;Primary Energy|Coal|w/o CCS;EJ/yr;154.6742245;165.1704831;190.2914125;211.9421922;229.441277;244.1402557;257.5910418;271.7790886;282.3609926;290.615613;297.926483;306.6530295;314.4643425;320.2514296;316.3979725;317.5284231;317.3408145;317.5509471;317.5710656
GCAM5.3_NAVIGATE;DIAG-Base;World;GDP|PPP;billion US$2010/yr OR local currency;76459.29518;90110.02566;106030.1348;125373.2348;146974.9705;168503.1722;190839.0152;213871.0963;237145.5803;261228.4514;287092.6265;314719.0312;343690.3164;373649.2763;404912.2999;437258.7549;470923.2674;505930.2292;541964.3228
GCAM5.3_NAVIGATE;DIAG-Base;World;Primary Energy|Oil|w/o CCS;EJ/yr;178.390211;185.4519154;190.2755559;203.1787804;214.6568475;223.3279897;226.7593577;227.4847369;227.5815388;231.0058751;236.4597587;241.6037408;246.7920575;250.5385707;254.4119462;259.0268319;263.6250949;268.4587653;273.8574147
GCAM5.3_NAVIGATE;DIAG-Base;World;Primary Energy|Gas;EJ/yr;119.0324565;127.4286587;141.4404488;153.8913769;171.9413489;188.0603124;204.6571846;224.1397892;240.6714489;257.9821258;275.5235126;287.7022352;304.8756152;321.951028;335.6514408;341.7139972;346.5749644;349.6624641;352.3020177
GCAM5.3_NAVIGATE;DIAG-Base;World;Primary Energy|Biomass|w/o CCS;EJ/yr;51.14722239;55.15063941;58.94115398;65.08022969;71.41799906;78.26852345;86.16711518;96.0664211;106.1464438;113.439362;118.0843161;121.7028007;123.6259114;125.1310289;126.8082655;128.5035445;129.2088602;129.2666981;128.6928086
GCAM5.3_NAVIGATE;DIAG-Base;World;Primary Energy|Nuclear;EJ/yr;10.34054087;9.671988903;10.97896183;12.08920061;13.53945468;15.10015229;16.80882434;19.17311417;20.96684619;22.52388416;24.16897045;26.3335009;27.97372119;29.59385911;30.81719747;31.97756613;32.69231893;32.94963146;32.59515428
GCAM5.3_NAVIGATE;DIAG-Base;World;Primary Energy|Solar;EJ/yr;0.127931704;0.968461479;1.422793792;1.911323266;2.636447508;3.595988317;4.899610812;5.755722022;7.250306649;8.923948363;10.67850944;12.71794305;14.52482487;16.3007263;19.19247475;22.01602852;24.90131672;27.50205763;30.30430783
