Model;Scenario;Region;Variable;Unit;2010;2015;2020;2025;2030;2035;2040;2045;2050;2055;2060;2065;2070;2075;2080;2085;2090;2095;2100
AIM/CGE V.2;DIAG-BHC1000;World;Primary Energy|Solar;EJ/yr;0.11;;0.89;;9.3;;18.13;;28.33;;42.67;;61.88;;86.59;;113.08;;137.13
AIM/CGE V.2;DIAG-BHC1000;World;Primary Energy|Biomass;EJ/yr;46.69;;49.79;;71.55;;93.92;;114.88;;132.03;;164.94;;189.98;;206.94;;209.01
AIM/CGE V.2;DIAG-BHC1000;World;Primary Energy;EJ/yr;492.51;;514.52;;550.82;;597.51;;661.7;;679.51;;695.11;;694.07;;692.49;;699.29
AIM/CGE V.2;DIAG-BHC1000;World;Primary Energy|Fossil;EJ/yr;420.73;;425.61;;391.5;;379.69;;388.87;;342.04;;268.47;;178.85;;102.78;;54.1
AIM/CGE V.2;DIAG-BHC1000;World;Primary Energy|Gas|w/o CCS;EJ/yr;108.92;;120.91;;99.95;;73.9;;39.69;;26.4;;16.66;;9.77;;5.75;;3.17
AIM/CGE V.2;DIAG-BHC1000;World;Emissions|F-Gases;Mt CO2-equiv/yr;861.99;;1340.44;;1476.04;;1622.09;;1791.86;;1969.87;;2185.41;;2401.55;;2626.25;;2836.98
AIM/CGE V.2;DIAG-BHC1000;World;Primary Energy|Non-Biomass Renewables;EJ/yr;13.41;;22.66;;62.59;;91.13;;116.46;;153.03;;196.48;;246.72;;288.6;;323.14
AIM/CGE V.2;DIAG-BHC1000;World;Emissions|N2O;kt N2O/yr;9525.88;;6200.03;;5879.45;;5761.02;;6033.13;;5814.61;;5541.26;;5227.15;;4903.93;;4576.58
AIM/CGE V.2;DIAG-BHC1000;World;Primary Energy|Oil;EJ/yr;176.14;;206.65;;221.16;;221.02;;204.37;;172.6;;132.05;;89.45;;55.06;;34.47
AIM/CGE V.2;DIAG-BHC1000;World;Emissions|Kyoto Gases;Mt CO2-equiv/yr;49419.48;;41998.78;;34288.68;;26387.63;;17016.32;;11280.12;;5982.86;;1628.81;;-1543.36;;-3386.39
AIM/CGE V.2;DIAG-BHC1000;World;Primary Energy|Gas|w/ CCS;EJ/yr;0;;0;;9.71;;33;;73.97;;82.98;;77.68;;56.79;;32.27;;13.42
AIM/CGE V.2;DIAG-BHC1000;World;Emissions|CO2|Energy and Industrial Processes;Mt CO2/yr;32552.22;;29944.69;;24362.11;;18444.06;;10661.61;;5651.54;;1009.44;;-2709.85;;-5221.14;;-6379.61
AIM/CGE V.2;DIAG-BHC1000;World;GDP|PPP;billion US$2010/yr;64489.56;;95997.15;;133000;;172000;;214000;;262000;;320000;;388000;;467000;;561000
AIM/CGE V.2;DIAG-BHC1000;World;Policy Cost|Consumption Loss;billion US$2010/yr;-0.85;;323.05;;1474.87;;3048.75;;5044.06;;7016.68;;9801.72;;12798.68;;15546.9;;17161.83
AIM/CGE V.2;DIAG-BHC1000;World;Price|Carbon;US$2010/t CO2;0;;50;;98.36;;193.48;;380.61;;748.72;;1472.85;;2897.32;;5699.47;;11211.72
AIM/CGE V.2;DIAG-BHC1000;World;Primary Energy|Oil|w/ CCS;EJ/yr;0;;0;;4.11;;29.47;;65.38;;76.88;;65.3;;45.65;;25.08;;10.49
AIM/CGE V.2;DIAG-BHC1000;World;Policy Cost|GDP Loss;billion US$2010/yr;1.81;;419.37;;1577.53;;3140.48;;5116.53;;7066.8;;9833.4;;12838.96;;15669.12;;17346.64
AIM/CGE V.2;DIAG-BHC1000;World;Temperature|Global Mean;°C;1.01;;1.26;;1.44;;1.57;;1.65;;1.67;;1.68;;1.68;;1.65;;1.61
AIM/CGE V.2;DIAG-C0to30-const;World;Primary Energy|Hydro;EJ/yr;12.43;;16.03;;19.88;;26.17;;23.49;;24.59;;25.75;;26.56;;26.6;;26.46
AIM/CGE V.2;DIAG-C0to30-const;World;Final Energy;EJ/yr;360.64;;434.02;;509.14;;521.57;;559.08;;592.08;;623.04;;648.48;;666.44;;674.15
AIM/CGE V.2;DIAG-C0to30-const;World;Emissions|CO2;Mt CO2/yr;36456.53;;42622.43;;47832.29;;42142.89;;38105.43;;39287.79;;41124.55;;42277.07;;42971.07;;43187.54
AIM/CGE V.2;DIAG-C0to30-const;World;Primary Energy|Fossil|w/o CCS;EJ/yr;420.73;;505.49;;595.54;;586.62;;551.32;;579.05;;614.97;;639.96;;652.39;;656.84
AIM/CGE V.2;DIAG-C0to30-const;World;Primary Energy|Geothermal;EJ/yr;0.22;;0.26;;0.29;;0.34;;0.34;;0.37;;0.41;;0.45;;0.49;;0.53
AIM/CGE V.2;DIAG-C0to30-const;World;Primary Energy|Coal;EJ/yr;135.66;;156.19;;181.12;;142.59;;111.54;;113.7;;123.42;;130.45;;138.98;;152.07
AIM/CGE V.2;DIAG-C0to30-const;World;Emissions|CO2|AFOLU;Mt CO2/yr;3904.31;;3995.19;;2981.23;;1250.95;;558.12;;404.48;;251.32;;123.53;;-0.57;;-162.07
AIM/CGE V.2;DIAG-C0to30-const;World;Primary Energy|Wind;EJ/yr;0.61;;2.18;;3.07;;6.53;;33.07;;38.68;;42.34;;47.5;;53.41;;61.22
AIM/CGE V.2;DIAG-C0to30-const;World;Emissions|CH4;Mt CH4/yr;370.49;;412.35;;451.25;;254.1;;239.42;;250.58;;260.01;;267.27;;272.36;;275.65
AIM/CGE V.2;DIAG-C0to30-const;World;Population;million;6879.59;;7623.66;;8273.4;;8795.52;;9172.31;;9380.92;;9442.85;;9383.01;;9220.28;;8990.63
AIM/CGE V.2;DIAG-C0to30-const;World;Primary Energy|Coal|w/o CCS;EJ/yr;135.66;;156.19;;181.12;;142.59;;108.25;;110.23;;119.53;;126.24;;134.41;;146.97
AIM/CGE V.2;DIAG-C0to30-const;World;Primary Energy|Oil|w/o CCS;EJ/yr;176.14;;216.7;;254.96;;274.45;;281.76;;291.77;;300.78;;306.15;;301.19;;279.13
AIM/CGE V.2;DIAG-C0to30-const;World;Primary Energy|Coal|w/ CCS;EJ/yr;0;;0;;0;;0;;3.29;;3.46;;3.89;;4.21;;4.57;;5.11
AIM/CGE V.2;DIAG-C0to30-const;World;Primary Energy|Gas;EJ/yr;108.92;;132.59;;159.47;;169.58;;161.31;;177.05;;194.66;;207.57;;216.79;;230.75
AIM/CGE V.2;DIAG-C0to30-const;World;Primary Energy|Biomass|w/o CCS;EJ/yr;46.69;;49.42;;52.4;;56.64;;75.21;;82.34;;88.7;;95.5;;103.19;;112.61
AIM/CGE V.2;DIAG-C0to30-const;World;Primary Energy|Fossil|w/ CCS;EJ/yr;0;;0;;0;;0;;3.29;;3.46;;3.89;;4.21;;4.57;;5.11
AIM/CGE V.2;DIAG-C0to30-const;World;Primary Energy|Nuclear;EJ/yr;11.69;;16.43;;25.16;;32.68;;40.44;;49.18;;56.9;;65.64;;75.25;;85.57
AIM/CGE V.2;DIAG-C0to30-const;World;Primary Energy|Solar;EJ/yr;0.11;;0.48;;0.8;;2.03;;12.67;;15.89;;18.99;;22.7;;27.14;;32.54
AIM/CGE V.2;DIAG-C0to30-const;World;Primary Energy|Biomass;EJ/yr;46.69;;49.42;;52.4;;56.64;;75.21;;82.34;;88.7;;95.5;;103.19;;112.61
AIM/CGE V.2;DIAG-C0to30-const;World;Primary Energy;EJ/yr;492.51;;590.33;;697.19;;711.05;;739.87;;793.6;;852;;902.57;;943.1;;980.92
AIM/CGE V.2;DIAG-C0to30-const;World;Primary Energy|Fossil;EJ/yr;420.73;;505.49;;595.54;;586.62;;554.61;;582.52;;618.86;;644.17;;656.96;;661.95
AIM/CGE V.2;DIAG-C0to30-const;World;Primary Energy|Gas|w/o CCS;EJ/yr;108.92;;132.59;;159.47;;169.58;;161.31;;177.05;;194.66;;207.57;;216.79;;230.75
AIM/CGE V.2;DIAG-C0to30-const;World;Emissions|F-Gases;Mt CO2-equiv/yr;861.99;;1344.1;;1489.71;;1643.78;;1819.93;;2006.2;;2235.9;;2465.3;;2702.68;;2916.55
AIM/CGE V.2;DIAG-C0to30-const;World;Primary Energy|Non-Biomass Renewables;EJ/yr;13.41;;18.99;;24.09;;35.12;;69.61;;79.56;;87.53;;97.26;;107.69;;120.8
AIM/CGE V.2;DIAG-C0to30-const;World;Emissions|N2O;kt N2O/yr;9525.88;;10452.57;;11298.31;;7438.64;;7953.77;;8228.66;;8453.59;;8600.81;;8682.66;;8714.78
AIM/CGE V.2;DIAG-C0to30-const;World;Primary Energy|Oil;EJ/yr;176.14;;216.7;;254.96;;274.45;;281.76;;291.77;;300.78;;306.15;;301.19;;279.13
AIM/CGE V.2;DIAG-C0to30-const;World;Emissions|Kyoto Gases;Mt CO2-equiv/yr;49419.48;;57390.03;;63970.04;;52355.84;;48281.01;;50010.67;;52379.98;;53987.07;;55070.14;;55592.25
AIM/CGE V.2;DIAG-C0to30-const;World;Emissions|CO2|Energy and Industrial Processes;Mt CO2/yr;32552.22;;38627.25;;44851.06;;40891.94;;37547.3;;38883.31;;40873.23;;42153.54;;42971.64;;43349.61
AIM/CGE V.2;DIAG-C0to30-const;World;GDP|PPP;billion US$2010/yr;64489.56;;96829.91;;136000;;177000;;221000;;273000;;336000;;409000;;493000;;588000
AIM/CGE V.2;DIAG-C0to30-const;World;Policy Cost|Consumption Loss;billion US$2010/yr;-0.85;;-2.72;;-24.86;;313.73;;1044.15;;1306.17;;1423.22;;1562.71;;1633.96;;1884.45
AIM/CGE V.2;DIAG-C0to30-const;World;Price|Carbon;US$2010/t CO2;0;;0;;0;;30;;30;;30;;30;;30;;30;;30
AIM/CGE V.2;DIAG-C0to30-const;World;Policy Cost|GDP Loss;billion US$2010/yr;1.81;;-3.06;;-25.53;;427.79;;1146.96;;1404.5;;1519.39;;1663.08;;1766.06;;2013.39
AIM/CGE V.2;DIAG-C0to30-const;World;Temperature|Global Mean;°C;1.01;;1.29;;1.59;;1.87;;2.06;;2.21;;2.4;;2.61;;2.82;;3.03
AIM/CGE V.2;DIAG-C0to30-gr5;World;Primary Energy|Hydro;EJ/yr;12.43;;16.03;;19.88;;26.17;;25.13;;27.43;;29.62;;30.37;;31.33;;31.71
AIM/CGE V.2;DIAG-C0to30-gr5;World;Final Energy;EJ/yr;360.64;;434.02;;509.14;;521.57;;542.64;;554.84;;565.82;;571.54;;571.25;;560.88
AIM/CGE V.2;DIAG-C0to30-gr5;World;Emissions|CO2;Mt CO2/yr;36456.53;;42622.43;;47832.29;;42132.68;;33449.56;;27579.63;;20760.75;;13688.8;;8079.28;;3442.18
